Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
AODV,false,9,10,0,0,,0,1Mbps,3974,1807,45.4706,13.343,133.672,2167,1986,99.674
AODV,true,9,10,0,1,49,0,1Mbps,3974,1856,46.7036,13.7108,129.366,2118,2002,99.6307
AODV,false,9,2,0,0,,0,1Mbps,3974,3273,82.3603,24.1787,15.5778,701,620,99.6301
AODV,false,9,5,0,0,,0,1Mbps,3974,2181,54.8817,16.1116,41.684,1793,1601,99.6312
AODV,true,9,2,0,1,49,0,1Mbps,3974,3435,86.4368,25.3755,17.8825,539,500,99.6301
AODV,true,9,5,0,1,49,0,1Mbps,3974,1787,44.9673,13.2121,115.98,2187,1980,99.5478
AODV,true,9,10,0,3,49|48|47,0,1Mbps,3974,872,21.9426,6.44277,278.911,3102,2907,99.6143
AODV,true,9,10,0,5,49|48|47|46|45,0,1Mbps,3974,844,21.238,6.23589,302.233,3130,3007,99.6143
AODV,false,10,10,0,0,,0,1Mbps,3975,1890,47.5472,13.9561,203.152,2085,1943,99.6725
AODV,true,10,10,0,1,49,0,1Mbps,3975,1112,27.9748,8.21121,354.363,2863,2659,99.6725
AODV,false,10,2,0,0,,0,1Mbps,3975,3083,77.5597,22.7652,16.386,892,825,99.6736
AODV,false,10,5,0,0,,0,1Mbps,3975,2527,63.5723,18.6656,47.2503,1448,1404,99.6418
AODV,true,10,2,0,1,49,0,1Mbps,3975,2269,57.0818,16.7544,113.697,1706,1663,99.6742
AODV,true,10,5,0,1,49,0,1Mbps,3975,1696,42.6667,12.5288,170.472,2279,2111,99.6311
AODV,true,10,10,0,3,49|48|47,0,1Mbps,3975,653,16.4277,4.82176,264.824,3322,3132,99.6749
AODV,true,10,10,0,5,49|48|47|46|45,0,1Mbps,3975,688,17.3082,5.08032,277.162,3287,3133,99.6725
